15.947,9.8519,4.0886,11.346,2.4531,1.7938,5.5342,10.439,4.9306,1.5397,4.1941,10.314
-0.01652,0.034778,0.080048,-0.0067563,0.091315,0.071049,0.055985,0.019209,0.069325,0.111,0.063194,0.016535
29.27,22.915,3.8288,28.507,15.611,11.03,13.229,20.972,12.569,6.557,14.104,18.864
40,40,40,40,40,40,40,40,40,40,40,40
85.909,87.145,73.134,72.054,85.33,64.791,73.001,77.565,78.462,85.214,72.9,73.189
7.1391e-05,0.0001781,-6.9658e-05,0.00017233,1.4051e-05,0.0041314,-0.10986,0.00039806,5.8851e-05,0.00014484,0.00034137,0.0001566
0.13053,0.12344,0.22151,0.17205,0.15513,-0.90649,29.338,-0.043254,0.12016,0.03402,-0.039721,0.067999
37.386,32.743,25.797,32.073,25.133,106.26,-1867.8,50.261,27.82,38.373,49.918,40.524
40,40,40,40,40,40,40,40,40,40,40,40
106.71,118.75,108.16,137.92,94.438,480.37,-9565.3,105.26,90.369,79.783,95.957,98.719
