3.7036,16.545,8.8109,14.858,5.717,7.1276,0.24108,4.6113,4.9306,1.5397,4.1941,10.314
0.063612,-0.036414,0.054855,-0.02584,0.073944,0.055908,0.11707,0.10326,0.069325,0.111,0.063194,0.016535
11.821,30.6,12.113,29.133,11.488,20.983,5.9786,2.7393,12.569,6.557,14.104,18.864
40,40,40,40,40,40,40,40,40,40,40,40
68.817,76.835,84.995,75.112,83.705,87.437,83.094,89.343,78.462,85.214,72.9,73.189
0.00010618,0.00017193,0.00032868,0.00015611,0.00017931,0.00017751,0.00015963,6.1819e-05,5.8851e-05,0.00014484,0.00034137,0.0001566
0.03229,0.036711,-0.016183,0.068354,0.018059,0.029113,-0.018484,0.10203,0.12016,0.03402,-0.039721,0.067999
43.199,40.973,45.238,37.168,41.887,40.364,45.516,38.121,27.82,38.373,49.918,40.524
40,40,40,40,40,40,40,40,40,40,40,40
76.717,88.548,99.052,95.424,82.806,85.703,67.082,93.426,90.369,79.783,95.957,98.719
